# Logfile created on 2026-03-09 17:38:44 +0100 by logger.rb/v1.6.0
2026-03-09 17:38:44 +0100: Memory Usage (426960K) : psd_drw has 99 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426960K) : nldb_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426960K) : digibnd_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427088K) : via1_drw has 1081 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427216K) : backmetal1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427216K) : backmetal1_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427344K) : backmetal1_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427344K) : backmetal1_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427472K) : backmetal1_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427472K) : backmetal1_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427600K) : backmetal1_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427600K) : backmetal1_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427728K) : backmetal1_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427728K) : backmetal1_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427856K) : backmetal1_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427856K) : backmetal1_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427984K) : backpassiv_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (427984K) : res_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428112K) : sram_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428112K) : trans_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428240K) : ind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428240K) : ind_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428368K) : ind_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428368K) : salblock_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428496K) : via2_drw has 60 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428496K) : metal3_drw has 8 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428624K) : metal3_pin has 4 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428624K) : metal3_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428624K) : metal3_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428752K) : metal3_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (428752K) : metal3_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429008K) : metal3_text has 4 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429008K) : metal3_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429136K) : metal3_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429392K) : metal3_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : metal3_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : metal3_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : nwell_drw has 112 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : nwell_pin has 11 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : nbulay_drw has 11 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : nbulay_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429520K) : nbulay_block has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429648K) : emwind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429648K) : emwind_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429776K) : deepco_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429776K) : deepco_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429904K) : mim_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (429904K) : edgeseal_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430032K) : edgeseal_bound has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430032K) : substrate_drw has 99 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430160K) : substrate_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430160K) : dfpad_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430288K) : dfpad_pillar has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430288K) : dfpad_sbump has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430416K) : thickgateox_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430416K) : pldb_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430544K) : pwell_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430544K) : pwell_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430672K) : pwell_block has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430672K) : ic_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430800K) : via3_drw has 2 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430800K) : metal4_drw has 2 polygons
