Metric,Value
route__wirelength__iter:2,7165
route__drc_errors__iter:3,0
route__wirelength__iter:3,7166
route__drc_errors,0
route__wirelength,7166
route__vias,1673
route__vias__singlecut,1673
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-6000,1001
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,234.69
design__instance__count__class:fill_cell,5220
design__instance__area__class:fill_cell,63759.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,13
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,13
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,13
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,13
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19977
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000232192
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000558718
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00000362128
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000558718
design_powergrid__voltage__worst,0.000558718
design_powergrid__voltage__worst__net:VPWR,1.19977
design_powergrid__drop__worst,0.000558718
design_powergrid__drop__worst__net:VPWR,0.000232192
design_powergrid__voltage__worst__net:VGND,0.000558718
design_powergrid__drop__worst__net:VGND,0.000558718
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00000330000000000000016830612424578728081314693554304540157318115234375
ir__drop__worst,0.0002320000000000000013600232051658167620189487934112548828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
